Date,Forecasted_Sales
2023-07-01,5542.160189127508
2023-07-02,5508.083438235735
2023-07-03,5636.593958532507
2023-07-04,5571.700325747263
2023-07-05,5475.5814309730395
2023-07-06,5463.54449817731
2023-07-07,5585.492608628592
2023-07-08,5625.644301115835
2023-07-09,5597.465100043253
2023-07-10,5724.711723349827
2023-07-11,5643.245734297068
2023-07-12,5657.57085566659
2023-07-13,5671.039983149145
2023-07-14,5705.524316603649
2023-07-15,5743.671891704
2023-07-16,5716.055182271207
2023-07-17,5843.178362865652
2023-07-18,5760.117113962104
2023-07-19,5785.0688621098225
2023-07-20,5800.992080013393
2023-07-21,5827.060652836541
2023-07-22,5865.0153801731885
2023-07-23,5837.452788852615
2023-07-24,5964.564090150737
2023-07-25,5881.349345409878
2023-07-26,5907.3235827659
2023-07-27,5923.482932104959
2023-07-28,5948.741744044351
2023-07-29,5986.677915640974
2023-07-30,5959.120531537539
